CustomerID,FullName,Email,Phone,Address,City,Area,LoyaltyTier
51001,  Allison Hill  ,..allison.hill..@gmail.com,218.196.0013,908 Jennifer Squares,Robinsonshire,view,Silver
51002,Abigail Shaffer,abigail.shaffer@gmail.com,001-654-235-1161x559,78161 Calderon River Suite 931,Lake Jeremyport,land,Silver
51003,Sharon James,sharon.james@gmail.com,525.534.1928x327,8350 Lydia Valley Suite 641,New Nancy,mouth,Bronze
51004,Jonathan Wilkerson,jonathan.wilkerson@gmail.com,+1-724-238-8496x9653,710 Eric Estate,Carlsonfurt,furt,Bronze
51005,Julie King,julie.king@gmail.com,-5095,482 Monica Hills,East Nathaniel,burgh,Silver
51006,Paula Moreno,paula.moreno@gmail.com,9570154303,71822 Arroyo Expressway,Allisonchester,borough,Gold
51007,Nicole Vaughn,nicole.vaughn@gmail.com,001-465-787-1331x509,301 Jeremy Bypass,Chadbury,view,Silver
51008,Cindy Anderson,cindy.anderson@gmail.com,001-973-763-1165,7010 Chandler Union Apt. 333,Taylorburgh,view,Gold
51009,Shannon Jones,shannon.jones@gmail.com,-2797,0260 Baker Tunnel,Mitchellside,fort,Gold
51010,Edward Novak,edward.novak@gmail.com,001-805-009-7882,121 Emma Freeway,Wilsonshire,bury,Silver
51011,Amanda Miller,amanda.miller@gmail.com,+1-998-543-5346x24751,9911 William Curve,Nicolebury,stad,Gold
51012,Jeffrey Daniels,jeffrey.daniels@gmail.com,123456,534 King Vista,North Cynthiaview,ton,Gold
51013,Ray Walsh,ray.walsh@gmail.com,278-680-1128x059,2045 Rachel Fords,Lake Curtis,side,Silver
51014,Jennifer Oliver,jennifer.oliver@gmail.com,(322)602-5634,160 Walker Viaduct,Baileybury,bury,Bronze
51015,Corey Murphy,corey.murphy@gmail.com,458-685-0142,19655 Obrien Pass Apt. 693,Bradleychester,town,Silver
51016,Renee Mcdaniel,renee.mcdaniel@gmail.com,001-356-159-5148x4656,236 Byrd Extensions Suite 680,Justinchester,shire,Gold
51017,Erica Ramos,erica.ramos@gmail.com,+1-387-214-8951x34332,37917 Mercado Ports,Lake Heather,fort,Silver
51018,Charles Watts,,001-163-287-0831x72788,9868 Merritt Summit Suite 743,Katiehaven,fort,
51019,Denise Jones,denise.jones@gmail.com,345-581-2236x2316,8760 Marissa Loaf Apt. 967,West Kennethfurt,chester,Silver
