DeliveryPersonID,FullName,Phone,HireDate,Rating
62001,Julia Jackson,001-443-435-4978x72965,2024-05-16,4.6
62002,Stuart Goodwin,380-299-0348x0424,2024-04-29,4.0
62003,Jennifer Williams,,2024-05-20,4.5
62004,,(225)492-0369x3091,2022-08-08,4.8
62005,Lori Brown,527-311-7226,2022-12-18,4.2
62006,Deanna Choi,690-018-4293x35984,2024-02-19,4.7
62007,Carla Johnston,+1-359-667-7153x9022,2023-12-27,5.0
62008,Carla Turner,001-365-003-2990x9006,2022-11-16,4.6
62009,Jennifer Hancock,+1-442-787-3554x0423,2021-05-20,4.0
62010,Johnathan Thomas,001-067-549-3934x396,2025-04-26,4.6
62011,Francisco Lewis,001-925-287-8357x33813,2022-06-01,5.0
62012,John Ramirez,302.364.1224,2024-05-13,4.3
62013,Alison Hudson,(372)033-5051x602,2022-06-08,4.4
62014,Erin Fuentes,155.587.0940x4224,2023-03-22,5.0
62015,Benjamin Wheeler,(551)253-8078,2020-12-17,4.6
62016,Sarah Short,001-505-349-4197x1575,2023-05-14,4.3
62017,Bryan Frederick MD,,2021-06-17,4.6
62018,Angela Caldwell,+1-563-520-0761,2026-05-14,4.6
62019,Anthony Lawson,+1-685-697-7143x36080,2020-08-22,4.9
62020,,001-610-392-7888x81893,2020-08-23,4.2
62021,William Myers,638-816-8785,2021-01-27,4.9
62022,Melinda Cantu,+1-050-965-6882x672,2024-10-11,4.6
62023,John Moore,208.147.2373x5640,2024-04-14,4.7
62024,Monica Joseph,8306978999,2023-06-24,4.1
62025,David Davila,+1-836-714-6749x066,2024-10-19,4.8
62026,Jennifer Watson,+1-571-164-5605,2023-06-06,4.8
62027,Christine Torres,001-180-739-2002x58565,2022-02-20,4.7
62028,John Woods,031.678.7192,2023-11-09,4.3
62029,Douglas Castillo,(012)402-5455,2020-07-09,4.7
62030,Yesenia Phillips,8099839767,2022-05-03,4.8
62031,Karen Collins,630-343-8300,2020-07-28,4.2
62032,Donna Edwards,+1-493-074-1799x654,2023-11-02,4.5
62033,Brittany Harvey,001-351-896-2252x756,2020-10-17,4.3
62034,Cameron Johnson,405.677.1251,2023-06-17,4.3
62035,Nancy Mckenzie,828-051-6660,2024-12-06,4.6
62036,Sarah Robinson,(788)447-9098,2023-07-26,4.3
62037,Jennifer Nguyen,695.844.4202x2482,2022-06-16,4.5
62038,Sara Lee,373-714-5031,2021-04-03,4.0
62039,Amanda Hernandez,+1-691-419-3960x61047,2021-02-08,4.3
62040,  Laura Garner  ,123456,2025-01-31,4.2
62041,,3414131811,2025-02-07,4.4
62042,Emily Rush,132-517-9044x70856,2020-05-01,5.0
62043,Denise Williams,(714)878-3103x1456,2022-08-19,4.5
62044,Calvin Duran,579.407.4033x744,2025-04-04,4.8
62045,Tracy Cole,+1-339-136-9412x641,2020-05-10,4.3
62046,Alice Jackson,001-753-180-5763x10108,2023-10-10,4.8
62047,Elizabeth Buchanan,(536)064-0047,2026-11-16,4.5
62048,Kyle Mcdowell,(989)484-8170x3610,2020-10-10,4.1
62049,Joy Mcdonald,001-177-375-9493x30781,2021-04-05,4.9
62050,Angela Rodriguez,001-600-490-2144x415,2023-03-01,4.9
62051,Jenny Ramirez,384.965.5239,2021-03-31,4.7
62052,Michael Cardenas,001-353-004-9992x6653,2023-08-09,4.2
62053,Tina Austin,+1-731-739-4624x8723,2025-01-31,5.0
62054,Sarah Bennett,392-768-7141x34931,2024-06-01,4.2
62055,Jeanette Pineda,(055)817-3579x21162,2023-03-16,4.1
62056,Michael Matthews,+1-354-646-3989x701,2022-11-02,4.3
62057,Lori Murphy,123456,2023-01-22,4.9
62058,Roy Wong,092-600-0110x15616,2020-12-01,4.2
62059,Julia Hoffman,981-213-0088x238,2022-11-24,4.9
62060,Jaime Berry,8672331044,2024-10-27,4.2
62061,Michael Raymond,365.561.9221x882,2021-07-05,4.0
62062,Daniel Miller,001-641-761-3023x6416,2022-05-08,4.3
62063,Collin Gentry,+1-916-764-0323x919,2022-04-05,4.8
62064,Vanessa Taylor,123456,2022-07-13,4.3
62065,Lori Flores,(252)964-4484,2022-06-07,5.0
62066,Nicole Patterson,001-868-111-4330x640,2026-05-07,4.3
62067,Jonathan Miller,559-062-7879x02591,2021-08-12,4.8
62068,Nicholas Blevins,721.626.6032,2021-12-09,4.6
62069,Edward Nichols,2955999773,2024-03-11,5.0
62070,Rebecca Gonzalez,(795)519-2474x111,2024-05-25,4.2
62071,Victoria Richmond,038.625.6761x125,2025-01-17,4.1
62072,Samuel Harris,0805630829,2021-09-25,4.8
62073,Wendy Hansen,732.107.8831x27365,2022-10-16,4.7
62074,Brittany Smith,(019)708-4287,2022-06-23,4.7
62075,Andrea Maldonado,(796)365-1295,2023-04-30,4.1
62076,Michael Smith,(108)194-8422x623,2020-09-22,4.8
62077,Jason Ferrell,(235)028-3034,2021-07-13,4.6
62078,Margaret Gonzalez,539.169.2809x166,2022-03-14,4.4
62079,,+1-687-403-3045x441,2020-06-24,4.2
62080,Jeffrey Baker,008.445.8015x176,2022-11-12,4.1
62081,Tony Greer,(809)241-1505,2020-06-22,4.4
62082,Tracey Russell,001-613-152-5523,2021-09-14,4.4
62083,Ricky Tran,5883774354,2020-10-21,4.4
62084,Sarah Torres,(253)950-1115x2558,2024-01-09,4.6
62085,Julie Padilla,+1-826-031-7489,2020-06-24,4.8
62086,Alicia Kerr,(880)971-8614x229,2022-03-12,4.2
62087,Michael Moyer,001-459-205-5967x57799,2021-01-26,4.7
62088,Colin Cole,001-830-457-6274,2023-02-01,4.0
62089,Melanie Miller,(089)589-7015x2213,2022-01-12,4.7
62090,Joseph Frank,0834761289,2024-09-16,4.4
62091,Mikayla Smith,461.139.9799x2715,2023-09-02,4.1
62092,Susan Chase,387.885.2858,2024-09-04,5.0
62093,Matthew Payne,001-439-763-0900x73794,2025-04-10,4.4
62094,Dr. Terri Valdez,457-444-1076x9262,2023-08-08,4.5
62095,  Tammy Mitchell  ,475.916.0435,2027-01-06,4.3
62096,Christine Carr,907-996-5857x83756,2025-01-06,4.6
62097,  John Parker  ,407.307.1776,2021-02-12,4.3
62098,Melissa Heath,007-883-6922x33854,2020-06-08,4.8
62099,Colin Perkins,+1-528-502-3126x532,2024-03-21,4.2
